Altium Designer Pick and Place Locations
D:\Elec_lvl-up\Hardware\Michel\Project Outputs for Michel\Pick Place for PCB.csv

========================================================================================================================
File Design Information:

Date:       26/05/18
Time:       18:36
Revision:   Not in VersionControl
Variant:    No variations
Units used: mil

"Designator","Layer","Footprint","Center-X(mil)","Center-Y(mil)","Rotation","Description","Height(mil)"
"R19","BottomLayer","RESC1608X05","4977.362","3610.236","270","Resistor","17.716"
"C128","BottomLayer","CAPC1608X08","2373.032","3237.205","270","Capacitor (Semiconductor SIM Model)","31.496"
"C116","BottomLayer","CAPC1608X08","4977.362","3487.205","90","Capacitor","31.496"
"R83","BottomLayer","RESC1608X05","4417.323","4279.528","360","Resistor","17.716"
"R84","BottomLayer","RESC1608X05","4421.260","4185.039","360","Resistor","17.716"
"R51","BottomLayer","RESC1608X05","4110.236","3098.425","90","Resistor","17.716"
"R50","BottomLayer","RESC1608X05","4110.236","2921.260","90","Resistor","17.716"
"R49","BottomLayer","RESC1608X05","4212.599","3098.425","90","Resistor","17.716"
"R48","BottomLayer","RESC1608X05","4212.599","3271.653","90","Resistor","17.716"
"R47","BottomLayer","RESC1608X05","4314.961","3098.425","90","Resistor","17.716"
"R46","BottomLayer","RESC1608X05","4314.961","3271.653","90","Resistor","17.716"
"R45","BottomLayer","RESC1608X05","4417.323","2755.905","270","Resistor","17.716"
"R44","BottomLayer","RESC1608X05","4417.323","3271.653","90","Resistor","17.716"
"R43","BottomLayer","RESC1608X05","4519.685","3098.425","90","Resistor","17.716"
"R42","BottomLayer","RESC1608X05","4519.685","3271.653","90","Resistor","17.716"
"R41","BottomLayer","RESC1608X05","4622.047","3098.425","90","Resistor","17.716"
"R40","BottomLayer","RESC1608X05","4614.173","3267.716","90","Resistor","17.716"
"R39","BottomLayer","RESC1608X05","4724.409","3098.425","90","Resistor","17.716"
"R38","BottomLayer","RESC1608X05","4724.409","2921.260","90","Resistor","17.716"
"R37","BottomLayer","RESC1608X05","4826.772","3098.425","90","Resistor","17.716"
"R36","BottomLayer","RESC1608X05","4826.772","3271.653","90","Resistor","17.716"
"R35","BottomLayer","RESC1608X05","4110.132","2755.905","90","Resistor","17.716"
"R34","BottomLayer","RESC1608X05","4110.236","3271.653","270","Resistor","17.716"
"R33","BottomLayer","RESC1608X05","4212.598","2756.189","90","Resistor","17.716"
"R32","BottomLayer","RESC1608X05","4212.494","2921.260","270","Resistor","17.716"
"R31","BottomLayer","RESC1608X05","4314.961","2755.905","90","Resistor","17.716"
"R30","BottomLayer","RESC1608X05","4314.961","2921.260","270","Resistor","17.716"
"R29","BottomLayer","RESC1608X05","4417.323","3098.425","270","Resistor","17.716"
"R28","BottomLayer","RESC1608X05","4417.323","2921.260","270","Resistor","17.716"
"R27","BottomLayer","RESC1608X05","4519.580","2755.905","90","Resistor","17.716"
"R26","BottomLayer","RESC1608X05","4519.685","2921.260","270","Resistor","17.716"
"R25","BottomLayer","RESC1608X05","4621.942","2755.906","90","Resistor","17.716"
"R24","BottomLayer","RESC1608X05","4622.047","2921.260","270","Resistor","17.716"
"R23","BottomLayer","RESC1608X05","4724.304","2755.905","90","Resistor","17.716"
"R22","BottomLayer","RESC1608X05","4724.409","3271.653","270","Resistor","17.716"
"R21","BottomLayer","RESC1608X05","4826.667","2755.906","90","Resistor","17.716"
"R20","BottomLayer","RESC1608X05","4826.772","2921.260","270","Resistor","17.716"
"L4","BottomLayer","INDM1608X08N","2204.724","2779.528","90","470nH","31.496"
"R53","BottomLayer","RESC1608X05","2074.803","2779.528","90","Resistor","17.716"
"R54","BottomLayer","RESC1608X05","2011.811","2779.528","90","Resistor","17.716"
"R52","BottomLayer","RESC1608X05","2334.646","2779.528","90","Resistor","17.716"
"R55","BottomLayer","RESC1608X05","2397.638","2779.528","90","Resistor","17.716"
"VR3","BottomLayer","SOT230P715X180-4N","4751.968","4413.386","270","Voltage Regulator","70.866"
"VR2","BottomLayer","MP04A","4138.514","5177.165","360","Voltage Regulator","0.000"
"VR1","BottomLayer","MP04A","5148.888","4744.095","180","Voltage Regulator","0.000"
"C41","BottomLayer","CAPC1608X08","3602.362","4157.480","90","Capacitor","31.496"
"C40","BottomLayer","CAPC1608X08","2803.150","4157.480","270","Capacitor","31.496"
"U7","BottomLayer","DBV6-M","2937.008","4877.953","270","Protection_ESD","0.000"
"U5","BottomLayer","DCK5","3316.331","4649.606","180","Buffers & Transmetteurs","0.000"
"R137","BottomLayer","RESC1608X05","1551.181","4870.079","270","Resistor","17.716"
"R136","BottomLayer","RESC1608X05","1688.976","4307.087","90","Resistor","17.716"
"R135","BottomLayer","RESC1608X05","1444.882","5055.118","90","Resistor","17.716"
"R133","BottomLayer","RESC1608X05","1437.008","4342.520","90","Resistor","17.716"
"R131","BottomLayer","RESC1608X05","1559.055","5232.283","270","Resistor","17.716"
"R130","BottomLayer","RESC1608X05","1377.953","5232.283","90","Resistor","17.716"
"R129","BottomLayer","RESC1608X05","1551.181","4031.496","90","Resistor","17.716"
"R128","BottomLayer","RESC1608X05","1125.984","3783.465","90","Resistor","17.716"
"R127","BottomLayer","RESC1608X05","1381.890","3787.402","90","Resistor","17.716"
"R126","BottomLayer","RESC1608X05","1192.914","3783.465","90","Resistor","17.716"
"R125","BottomLayer","RESC1608X05","1385.827","4870.079","270","Resistor","17.716"
"R124","BottomLayer","RESC1608X05","1433.071","4007.874","90","Resistor","17.716"
"R121","BottomLayer","RESC1608X05","1198.819","4032.480","270","Resistor","17.716"
"R119","BottomLayer","RESC1608X05","1610.236","5055.118","270","Resistor","17.716"
